path,label,split
SMIDS/Normal_Sperm/Normal_Sperm (1).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (1010).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (11).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (111).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (133).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (134).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (135).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (137).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (144).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (145).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (152).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (170).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (177).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (195).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (210).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (211).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (247).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (275).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (295).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (298).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (302).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (312).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (315).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (326).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (330).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (331).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (336).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (34).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (340).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (343).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (349).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (357).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (358).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (362).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (363).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (367).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (379).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (401).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (411).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (42).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (424).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (432).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (433).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (452).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (460).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (463).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (465).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (488).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (500).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (521).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (548).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (551).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (558).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (559).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (561).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (580).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (594).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (603).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (613).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (62).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (628).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (635).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (636).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (643).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (650).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (653).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (659).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (66).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (674).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (677).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (682).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (741).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (748).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (75).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (758).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (769).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (771).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (776).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (777).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (789).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (790).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (792).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (813).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (816).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (823).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (830).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (831).bmp,0,calibration
SMIDS/Normal_Sperm/Normal_Sperm (847).bmp,0,calibration
