method,severity,n_samples,n_valid_spearman,spearman_mean,spearman_std,n_valid_iou,iou_mean,iou_std
gradcam,0,300,300,1.0,7.320593835522382e-17,300,1.0,0.0
gradcam,1,300,300,0.9977649550370995,0.006107518768931028,300,0.9867676767676768,0.04906278219669075
gradcam,2,300,300,0.957454792423675,0.04519693545558999,300,0.9077367077367078,0.1173771828352405
gradcam,3,300,300,0.8403934429513221,0.0964691014085127,300,0.8176230795348443,0.1496722124802169
gradcam,4,300,300,0.7973823354581595,0.11373335576893125,300,0.7990705209822857,0.1740760140514928
gradcam,5,300,300,0.7164912423237364,0.15085911365301102,300,0.725666603205303,0.18883854954540552
gradcam++,0,300,300,1.0,2.5682342118138033e-17,300,1.0,0.0
gradcam++,1,300,300,0.9995623114672935,0.0005928592042108985,300,0.9890909090909091,0.04325157189616335
gradcam++,2,300,300,0.9884760406625877,0.009279385253778864,300,0.9242191142191143,0.10007233484108875
gradcam++,3,300,300,0.9322069651343334,0.028257020325131502,300,0.845981795981796,0.12265594059348184
gradcam++,4,300,300,0.9088974268130594,0.03784755712595365,300,0.8137029637029637,0.13502945084466894
gradcam++,5,300,300,0.8716110396342546,0.05186086690493972,300,0.7644419469419469,0.13962440278956073
