analysis_tier,dataset,model,severity,coverage_mean,coverage_std,coverage_n_replicates,set_size_mean,set_size_std,set_size_n_replicates,method
secondary/exploratory,hushem,resnet50,0,0.9582452431289639,0.03827820942600411,5,2.310676532769556,0.2491286792949901,5,aps
secondary/exploratory,hushem,resnet50,1,0.9729084868619753,0.018349515761707867,5,2.4844910903050437,0.19713099541853216,5,aps
secondary/exploratory,hushem,resnet50,2,0.9742373905164602,0.01556872118697345,5,2.6068710359408036,0.18181469810361145,5,aps
secondary/exploratory,hushem,resnet50,3,0.9695862277257625,0.008547586847121112,5,2.7824675324675328,0.10882745859869596,5,aps
secondary/exploratory,hushem,resnet50,4,0.9635910601026879,0.013377163448488574,5,2.8949562065841135,0.0449596330056594,5,aps
secondary/exploratory,hushem,resnet50,5,0.9418151615826034,0.010258747099176747,5,2.965629719118091,0.024882965584940114,5,aps
secondary/exploratory,smids,mobilenet_v3_large,0,0.9577777777777777,0.010715167512214404,3,1.5455555555555556,0.056699336987435865,3,aps
secondary/exploratory,smids,mobilenet_v3_large,1,0.9641269841269842,0.007858345266340726,3,1.6814285714285715,0.04614627241771418,3,aps
secondary/exploratory,smids,mobilenet_v3_large,2,0.9390476190476192,0.022151815904024794,3,1.7598412698412698,0.006465210112513239,3,aps
secondary/exploratory,smids,mobilenet_v3_large,3,0.8692063492063493,0.07659170149381268,3,1.7850793650793648,0.11981687967930338,3,aps
secondary/exploratory,smids,mobilenet_v3_large,4,0.8225396825396825,0.0952968072995181,3,1.8173015873015874,0.1655509138127842,3,aps
secondary/exploratory,smids,mobilenet_v3_large,5,0.7595238095238095,0.09722102364016606,3,1.8219047619047621,0.21779090848470697,3,aps
secondary/exploratory,smids,resnet50,0,0.9773333333333334,0.013824294235551829,5,1.7613333333333334,0.08022883937005859,5,aps
secondary/exploratory,smids,resnet50,1,0.9791428571428572,0.011240516284815696,5,1.7704761904761905,0.0698483942975145,5,aps
secondary/exploratory,smids,resnet50,2,0.9778095238095238,0.009413648604305946,5,1.7957142857142856,0.07197016892726811,5,aps
secondary/exploratory,smids,resnet50,3,0.9653333333333333,0.007762050831228548,5,1.841619047619048,0.0629955186830751,5,aps
secondary/exploratory,smids,resnet50,4,0.9291428571428572,0.01074018034871403,5,1.8768571428571428,0.056049662138592284,5,aps
secondary/exploratory,smids,resnet50,5,0.8653333333333333,0.02116076033080517,5,1.9095238095238094,0.045862853820321896,5,aps
secondary/exploratory,smids,resnet50,0,0.98,,1,1.71,,1,ensemble_aps
secondary/exploratory,smids,resnet50,1,0.9804761904761905,,1,1.7242857142857144,,1,ensemble_aps
secondary/exploratory,smids,resnet50,2,0.9799999999999999,,1,1.7595238095238095,,1,ensemble_aps
secondary/exploratory,smids,resnet50,3,0.9695238095238095,,1,1.8347619047619048,,1,ensemble_aps
secondary/exploratory,smids,resnet50,4,0.9319047619047619,,1,1.8957142857142857,,1,ensemble_aps
secondary/exploratory,smids,resnet50,5,0.8752380952380953,,1,1.95,,1,ensemble_aps
secondary/exploratory,smids,xception,0,0.9866666666666667,0.005773502691896279,3,1.8733333333333333,0.029059326290271224,3,aps
secondary/exploratory,smids,xception,1,0.9866666666666667,0.0033333333333333886,3,1.898412698412698,0.01595297321809803,3,aps
secondary/exploratory,smids,xception,2,0.9757142857142856,0.0009523809523810239,3,1.9363492063492063,0.01674358667172036,3,aps
secondary/exploratory,smids,xception,3,0.9434920634920635,0.008388704928078607,3,1.9719047619047618,0.009999999999999926,3,aps
secondary/exploratory,smids,xception,4,0.9085714285714287,0.010033955955097802,3,1.9871428571428569,0.004232473532055116,3,aps
secondary/exploratory,smids,xception,5,0.8685714285714287,0.012839494059726467,3,1.993968253968254,0.005498573992282355,3,aps
