analysis_tier,dataset,model,severity,corruption_scope,raw_ece_mean,raw_ece_std,temperature_ece_mean,temperature_ece_std,paired_difference_mean,paired_difference_std,n_replicates
secondary/exploratory,hushem,resnet50,0,clean,0.13218638327358637,0.042488959005374076,0.1535291393891953,0.04386259605338971,0.021342756115608933,0.06670257021741133,5
secondary/exploratory,hushem,resnet50,1,mean_of_device_corruptions,0.12202527141038182,0.017858152029947616,0.135266687837802,0.03744292863570275,0.013241416427420178,0.028147852522953362,5
secondary/exploratory,hushem,resnet50,2,mean_of_device_corruptions,0.1388816865517163,0.0243439510810158,0.14470410407201573,0.036059183562389,0.00582241752029943,0.025797727987187186,5
secondary/exploratory,hushem,resnet50,3,mean_of_device_corruptions,0.15158142138107128,0.02080184997871997,0.16914201316625388,0.02733289238781481,0.017560591785182624,0.022491201044569847,5
secondary/exploratory,hushem,resnet50,4,mean_of_device_corruptions,0.18825050222166206,0.01904187978767711,0.19819570440147544,0.018533693171451558,0.009945202179813383,0.013109308142823612,5
secondary/exploratory,hushem,resnet50,5,mean_of_device_corruptions,0.18362230621042006,0.018593069157829496,0.19791169490106006,0.030481765252191175,0.014289388690639998,0.031119737984798473,5
secondary/exploratory,smids,mobilenet_v3_large,0,clean,0.03958280318313167,0.0059184862295023335,0.03473072419563923,0.006884672225307666,-0.004852078987492433,0.002559462944179815,3
secondary/exploratory,smids,mobilenet_v3_large,1,mean_of_device_corruptions,0.05518886562377684,0.009876937745413377,0.04969438268551746,0.012777130444180137,-0.0054944829382593775,0.0029947788244907157,3
secondary/exploratory,smids,mobilenet_v3_large,2,mean_of_device_corruptions,0.13939761951802265,0.0656992621726774,0.1301803107204891,0.07013646172550651,-0.009217308797533554,0.005122024514546421,3
secondary/exploratory,smids,mobilenet_v3_large,3,mean_of_device_corruptions,0.21387859744685034,0.06499868421705225,0.20678684475876033,0.06589839761691337,-0.007091752688090018,0.0021209233651726367,3
secondary/exploratory,smids,mobilenet_v3_large,4,mean_of_device_corruptions,0.2893786055275372,0.0911952946661765,0.28169199729722644,0.09577973211927003,-0.007686608230310782,0.004589444554152997,3
secondary/exploratory,smids,mobilenet_v3_large,5,mean_of_device_corruptions,0.39728688837516873,0.1367639024188256,0.3842317841213847,0.14788322916734922,-0.013055104253784014,0.011583908418023817,3
secondary/exploratory,smids,resnet50,0,clean,0.0468318364024162,0.010724334451363692,0.04620741536219906,0.00934879331534465,-0.0006244210402171407,0.008526616199707321,5
secondary/exploratory,smids,resnet50,1,mean_of_device_corruptions,0.04631261059783749,0.0047834928626540145,0.04081662922813774,0.006196278990380579,-0.0054959813696997565,0.006098933735059618,5
secondary/exploratory,smids,resnet50,2,mean_of_device_corruptions,0.052126197806426425,0.002868942461274301,0.046516768310751196,0.009034737435230216,-0.005609429495675232,0.007493276252236803,5
secondary/exploratory,smids,resnet50,3,mean_of_device_corruptions,0.10052032491422831,0.009816155916578008,0.08814867561204089,0.013615772150069715,-0.012371649302187432,0.011104226013168923,5
secondary/exploratory,smids,resnet50,4,mean_of_device_corruptions,0.17759906429620015,0.016168101603137416,0.1612347409583273,0.01800265178720454,-0.016364323337872837,0.01551667183790888,5
secondary/exploratory,smids,resnet50,5,mean_of_device_corruptions,0.2735043429874238,0.019535541886638516,0.2508606962391308,0.030402523378253048,-0.02264364674829301,0.018342389421213138,5
secondary/exploratory,smids,xception,0,clean,0.051576605041821766,0.02328901129418406,0.046161133746306066,0.010327200212782538,-0.005415471295515703,0.013244139397966651,3
secondary/exploratory,smids,xception,1,mean_of_device_corruptions,0.054323250041121485,0.011299449745887284,0.045928893902945106,0.005528334998506668,-0.008394356138176379,0.009275511247822513,3
secondary/exploratory,smids,xception,2,mean_of_device_corruptions,0.06837885644227736,0.007729653663194549,0.05952665581116595,0.0029320928048511986,-0.008852200631111397,0.006630274939937755,3
secondary/exploratory,smids,xception,3,mean_of_device_corruptions,0.1264012631773948,0.01584865063391963,0.12000541008181038,0.0036554110023652737,-0.006395853095584408,0.013883061905181465,3
secondary/exploratory,smids,xception,4,mean_of_device_corruptions,0.15558428610128064,0.007836815327985166,0.14541879583918857,0.008191812661389526,-0.010165490262092106,0.0038445742870878317,3
secondary/exploratory,smids,xception,5,mean_of_device_corruptions,0.18133288852752197,0.053411317067810486,0.1779801695403598,0.05206299041237012,-0.003352718987162171,0.028733396369699602,3
