analysis_tier,dataset,model,corruption,severity,mean,std,n_replicates,method,metric
secondary/exploratory,hushem,resnet50,defocus_blur,1,0.9628964059196615,0.03126087901584546,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,defocus_blur,2,0.9723044397463003,0.019208674534460658,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,defocus_blur,3,0.9583509513742072,0.010292314118087188,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,defocus_blur,4,0.9535940803382663,0.0233887704254977,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,defocus_blur,5,0.9441860465116279,0.045333927185157975,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,1,0.976955602536998,0.022994884450196592,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,2,0.9768498942917546,0.04028094486333907,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,3,0.9813953488372092,0.025475467790938004,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,4,0.9815010570824523,0.010343755703372612,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,gaussian_noise,5,0.9538054968287526,0.022866968283834537,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,illumination,1,0.972198731501057,0.030343054185343263,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,illumination,2,0.9816067653276956,0.025188746616714025,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,illumination,3,0.9676532769556025,0.026380508680446654,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,illumination,4,0.9630021141649049,0.03520259155464427,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,illumination,5,0.9584566596194503,0.018893408289004623,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,jpeg,1,0.9583509513742072,0.04470846473703608,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,jpeg,2,0.9861522198731499,0.012643077341874436,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,jpeg,3,0.9861522198731499,0.020742802269516317,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,jpeg,4,0.9675475687103594,0.012836045623246464,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,jpeg,5,0.9723044397463003,0.019208674534460655,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,motion_blur,1,0.9860465116279069,0.012737733895469009,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,motion_blur,2,0.9720930232558139,0.019457209919397145,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,motion_blur,3,0.9582452431289641,0.019584574327324432,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,motion_blur,4,0.9304439746300212,0.04945971201859709,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,motion_blur,5,0.8984143763213531,0.06618003127502652,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,resample,1,0.9816067653276956,0.019080265061088352,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,resample,2,0.9583509513742072,0.010292314118087188,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,resample,3,0.9630021141649049,0.026427061310782273,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,resample,4,0.9768498942917546,0.023257015152526088,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,resample,5,0.9304439746300212,0.0436512340068788,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,shot_noise,1,0.9723044397463003,0.030162991562676662,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,shot_noise,2,0.9723044397463003,0.030162991562676666,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,shot_noise,3,0.9723044397463003,0.025286154683748778,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,shot_noise,4,0.972198731501057,0.01949020406910635,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,shot_noise,5,0.9350951374207188,0.019713950077258263,5,aps,conformal_coverage
secondary/exploratory,hushem,resnet50,defocus_blur,1,2.3152219873150104,0.24304208393472385,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,defocus_blur,2,2.403276955602537,0.21935479738939498,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,defocus_blur,3,2.597463002114165,0.25342479811193475,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,defocus_blur,4,2.782875264270613,0.1337733562590726,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,defocus_blur,5,2.9723044397463,0.019208674534460606,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,gaussian_noise,1,2.745137420718816,0.1319916766947051,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,gaussian_noise,2,2.869978858350952,0.10238431560900857,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,gaussian_noise,3,2.9627906976744187,0.04224628401066277,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,gaussian_noise,4,2.9906976744186045,0.012737733895468973,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,gaussian_noise,5,3.0,0.0,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,illumination,1,2.3986257928118393,0.2695447288600065,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,illumination,2,2.5931289640591966,0.21808856091588538,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,illumination,3,2.7313953488372094,0.155809614656702,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,illumination,4,2.847040169133192,0.14962273041832627,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,illumination,5,2.897780126849894,0.10991599051066832,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,jpeg,1,2.398837209302326,0.2563287631726835,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,jpeg,2,2.565961945031712,0.27661203937836615,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,jpeg,3,2.7232558139534886,0.18170813819179138,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,jpeg,4,2.7972515856236786,0.12491566195954668,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,jpeg,5,2.912579281183932,0.0811509606450626,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,motion_blur,1,2.560359408033827,0.15954960458892367,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,motion_blur,2,2.602431289640592,0.17362414362666465,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,motion_blur,3,2.7822410147991543,0.16515539054878958,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,motion_blur,4,2.893128964059197,0.058561318405201755,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,motion_blur,5,2.9767441860465116,0.02848243886957189,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,1,2.5564482029598308,0.22121278350129311,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,2,2.6625792811839326,0.2081545396524454,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,3,2.902642706131078,0.11684013208038597,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,4,2.9862579281183934,0.020388267993642527,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,resample,5,3.0,0.0,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,1,2.4168076109936574,0.18122090179149775,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,2,2.5507399577167016,0.2321156659397607,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,3,2.777484143763213,0.15774897079044856,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,4,2.967441860465116,0.03891441983879427,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,shot_noise,5,3.0,0.0,5,aps,conformal_mean_set_size
secondary/exploratory,hushem,resnet50,defocus_blur,1,0.8514799154334037,0.07136480993315732,5,raw_softmax,accuracy
secondary/exploratory,hushem,resnet50,defocus_blur,2,0.837737843551797,0.03383076745413379,5,raw_softmax,accuracy
