analysis_tier,dataset,model,severity,selector_method,selector_score,selector_n_replicates,retained_accuracy_mean,retained_accuracy_std,unselective_n_replicates,unselective_accuracy_mean,unselective_accuracy_std,clean_n_replicates,clean_accuracy_mean,clean_accuracy_std,gain_vs_unselective,difference_from_clean
secondary/exploratory,hushem,resnet50,3,energy,Energy score,5,0.8250340136054422,0.052018358054769856,5,0.779492600422833,0.039518140825671295,5,0.8654334038054967,0.07816300968507428,0.04554141318260918,-0.040399390200054563
secondary/exploratory,hushem,resnet50,4,energy,Energy score,5,0.7372108843537415,0.060526826211139514,5,0.7013138024765931,0.051441414960529744,5,0.8654334038054967,0.07816300968507428,0.03589708187714835,-0.12822251945175522
secondary/exploratory,smids,mobilenet_v3_large,3,energy,Energy score,3,0.7319444444444445,0.040161298462324316,3,0.6796825396825398,0.04922145185537831,3,0.8888888888888888,0.016442942874387495,0.05226190476190473,-0.15694444444444433
secondary/exploratory,smids,mobilenet_v3_large,4,energy,Energy score,3,0.6474206349206348,0.07833734370011163,3,0.6017460317460318,0.07188794084757615,3,0.8888888888888888,0.016442942874387495,0.045674603174603035,-0.241468253968254
secondary/exploratory,smids,resnet50,3,deep_ensemble,Deep-ensemble predictive entropy,1,0.9005952380952381,,1,0.849047619047619,,1,0.92,,0.051547619047619064,-0.019404761904761925
secondary/exploratory,smids,resnet50,4,deep_ensemble,Deep-ensemble predictive entropy,1,0.8041666666666667,,1,0.7504761904761904,,1,0.92,,0.05369047619047629,-0.11583333333333334
secondary/exploratory,smids,resnet50,3,energy,Energy score,5,0.8692857142857143,0.019161674889750603,5,0.8299047619047618,0.015018507101425063,5,0.8966666666666667,0.007071067811865407,0.039380952380952516,-0.027380952380952395
secondary/exploratory,smids,resnet50,4,energy,Energy score,5,0.7783333333333333,0.020958805833112583,5,0.7364761904761904,0.01623453389238351,5,0.8966666666666667,0.007071067811865407,0.041857142857142926,-0.1183333333333334
secondary/exploratory,smids,xception,3,energy,Energy score,3,0.8311507936507937,0.01830135326603207,3,0.7866666666666666,0.016605329308726414,3,0.8877777777777779,0.021688023662159054,0.04448412698412707,-0.05662698412698419
secondary/exploratory,smids,xception,4,energy,Energy score,3,0.7676587301587302,0.028199044842114027,3,0.7234920634920634,0.01864049023065927,3,0.8877777777777779,0.021688023662159054,0.0441666666666668,-0.12011904761904768
