analysis_tier,dataset,model,corruption_scope,severity,method,metric,signal_label,n_replicates,mean,std,clean_mean,frozen_cutoff,normalized_mean,normalized_std,crossing_severity
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,0,aps,conformal_coverage,APS coverage,5,0.9582452431289639,0.03827820942600411,0.9582452431289639,0.85,-0.0,0.35362486442382757,
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,1,aps,conformal_coverage,APS coverage,5,0.9729084868619753,0.018349515761707867,0.9582452431289639,0.85,-0.13546316964285965,0.16951798740796553,
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,2,aps,conformal_coverage,APS coverage,5,0.9742373905164602,0.01556872118697345,0.9582452431289639,0.85,-0.14773995535714401,0.14382822502809478,
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,3,aps,conformal_coverage,APS coverage,5,0.9695862277257625,0.008547586847121112,0.9582452431289639,0.85,-0.10477120535714408,0.07896501130250572,
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,4,aps,conformal_coverage,APS coverage,5,0.9635910601026879,0.013377163448488574,0.9582452431289639,0.85,-0.049386160714286705,0.12358199826435753,
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,5,aps,conformal_coverage,APS coverage,5,0.9418151615826034,0.010258747099176747,0.9582452431289639,0.85,0.15178571428571344,0.09477319097481658,
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,0,raw_softmax,accuracy,Accuracy,5,0.8654334038054967,0.07816300968507428,0.8654334038054967,0.8154334038054967,-0.0,1.5632601937014843,3.0
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,1,raw_softmax,accuracy,Accuracy,5,0.8369525823014194,0.045804625826764846,0.8654334038054967,0.8154334038054967,0.5696164300815448,0.9160925165352961,3.0
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,2,raw_softmax,accuracy,Accuracy,5,0.818589549984899,0.024785238071574962,0.8654334038054967,0.8154334038054967,0.9368770764119542,0.49570476143149883,3.0
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,3,raw_softmax,accuracy,Accuracy,5,0.779492600422833,0.039518140825671295,0.8654334038054967,0.8154334038054967,1.7188160676532733,0.7903628165134252,3.0
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,4,raw_softmax,accuracy,Accuracy,5,0.7013138024765931,0.051441414960529744,0.8654334038054967,0.8154334038054967,3.2823920265780684,1.028828299210594,3.0
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,5,raw_softmax,accuracy,Accuracy,5,0.5802325581395349,0.057781288297274525,0.8654334038054967,0.8154334038054967,5.704016913319231,1.1556257659454894,3.0
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,0,raw_softmax,ece,ECE,5,0.13218638327358637,0.042488959005374076,0.13218638327358637,0.26437276654717273,0.0,0.32143219258397143,
primary/prespecified,hushem,resnet50,equal_mean_of_7_device_corruptions,1,raw_softmax,ece,ECE,5,0.12202527141038182,0.017858152029947616,0.13218638327358637,0.26437276654717273,-0.07686958075079549,0.13509827251258225,
