analysis_tier,dataset,model,corruption_scope,severity,method,metric,signal_label,n_replicates,mean,std,clean_mean,frozen_cutoff,normalized_mean,normalized_std,crossing_severity
secondary/exploratory,hushem,resnet50,defocus_blur,0,aps,conformal_coverage,APS coverage,5,0.9582452431289639,0.03827820942600411,0.9582452431289639,0.85,-0.0,0.35362486442382757,
secondary/exploratory,hushem,resnet50,defocus_blur,1,aps,conformal_coverage,APS coverage,5,0.9628964059196615,0.03126087901584546,0.9582452431289639,0.85,-0.04296874999999994,0.288796792470604,
secondary/exploratory,hushem,resnet50,defocus_blur,2,aps,conformal_coverage,APS coverage,5,0.9723044397463003,0.019208674534460658,0.9582452431289639,0.85,-0.12988281250000303,0.17745513778906066,
secondary/exploratory,hushem,resnet50,defocus_blur,3,aps,conformal_coverage,APS coverage,5,0.9583509513742072,0.010292314118087188,0.9582452431289639,0.85,-0.0009765625000021665,0.0950832925362353,
secondary/exploratory,hushem,resnet50,defocus_blur,4,aps,conformal_coverage,APS coverage,5,0.9535940803382663,0.0233887704254977,0.9582452431289639,0.85,0.04296874999999892,0.21607203928243027,
secondary/exploratory,hushem,resnet50,defocus_blur,5,aps,conformal_coverage,APS coverage,5,0.9441860465116279,0.045333927185157975,0.9582452431289639,0.85,0.12988281249999892,0.4188075695035109,
secondary/exploratory,hushem,resnet50,defocus_blur,0,raw_softmax,accuracy,Accuracy,5,0.8654334038054967,0.07816300968507428,0.8654334038054967,0.8154334038054967,-0.0,1.5632601937014843,3.0
secondary/exploratory,hushem,resnet50,defocus_blur,1,raw_softmax,accuracy,Accuracy,5,0.8514799154334037,0.07136480993315732,0.8654334038054967,0.8154334038054967,0.2790697674418594,1.4272961986631452,3.0
secondary/exploratory,hushem,resnet50,defocus_blur,2,raw_softmax,accuracy,Accuracy,5,0.837737843551797,0.03383076745413379,0.8654334038054967,0.8154334038054967,0.5539112050739932,0.6766153490826752,3.0
secondary/exploratory,hushem,resnet50,defocus_blur,3,raw_softmax,accuracy,Accuracy,5,0.7865750528541227,0.07145713184748098,0.8654334038054967,0.8154334038054967,1.5771670190274798,1.4291426369496183,3.0
secondary/exploratory,hushem,resnet50,defocus_blur,4,raw_softmax,accuracy,Accuracy,5,0.7125792811839323,0.07036986055775174,0.8654334038054967,0.8154334038054967,3.057082452431285,1.4073972111550335,3.0
secondary/exploratory,hushem,resnet50,defocus_blur,5,raw_softmax,accuracy,Accuracy,5,0.5825581395348837,0.10880018253094484,0.8654334038054967,0.8154334038054967,5.657505285412256,2.176003650618895,3.0
secondary/exploratory,hushem,resnet50,defocus_blur,0,raw_softmax,ece,ECE,5,0.13218638327358637,0.042488959005374076,0.13218638327358637,0.26437276654717273,0.0,0.32143219258397143,
secondary/exploratory,hushem,resnet50,defocus_blur,1,raw_softmax,ece,ECE,5,0.13528911225639487,0.03538291025931379,0.13218638327358637,0.26437276654717273,0.023472379726032576,0.2676743956757008,
secondary/exploratory,hushem,resnet50,defocus_blur,2,raw_softmax,ece,ECE,5,0.12452781088571466,0.03262710293832222,0.13218638327358637,0.26437276654717273,-0.05793768010144244,0.2468265045938495,
secondary/exploratory,hushem,resnet50,defocus_blur,3,raw_softmax,ece,ECE,5,0.13935931607230265,0.034919753090276846,0.13218638327358637,0.26437276654717273,0.05426377983177322,0.26417057661683185,
secondary/exploratory,hushem,resnet50,defocus_blur,4,raw_softmax,ece,ECE,5,0.2068384936004562,0.04673371720570856,0.13218638327358637,0.26437276654717273,0.5647488680612605,0.3535441098269836,
secondary/exploratory,hushem,resnet50,defocus_blur,5,raw_softmax,ece,ECE,5,0.22080964045658166,0.07303428097164345,0.13218638327358637,0.26437276654717273,0.6704416520691969,0.5525098664700152,
secondary/exploratory,hushem,resnet50,defocus_blur,0,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.41389878988265993,0.07404948582141009,0.41389878988265993,0.8277975797653199,0.0,0.17890722957272495,5.0
secondary/exploratory,hushem,resnet50,defocus_blur,1,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.4158468425273895,0.07569860857368275,0.41389878988265993,0.8277975797653199,0.004706591786078555,0.182891591915848,5.0
secondary/exploratory,hushem,resnet50,defocus_blur,2,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.44405974745750426,0.07834876724573439,0.41389878988265993,0.8277975797653199,0.07287036906629986,0.18929450667866465,5.0
secondary/exploratory,hushem,resnet50,defocus_blur,3,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.5285695672035218,0.1171225400044372,0.41389878988265993,0.8277975797653199,0.27705028408846266,0.28297386430542926,5.0
secondary/exploratory,hushem,resnet50,defocus_blur,4,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.6632572174072265,0.17447672795887761,0.41389878988265993,0.8277975797653199,0.6024623256213423,0.42154442637617195,5.0
secondary/exploratory,hushem,resnet50,defocus_blur,5,raw_softmax,mean_predictive_entropy,Predictive entropy,5,0.9156602025032043,0.18581968665501564,0.41389878988265993,0.8277975797653199,1.212280453303073,0.44894957703958355,5.0
secondary/exploratory,hushem,resnet50,defocus_blur,0,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.08571428571428567,0.07284313590846836,0.08571428571428567,0.17142857142857135,0.0,0.8498365855987979,4.0
secondary/exploratory,hushem,resnet50,defocus_blur,1,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.08571428571428567,0.07284313590846836,0.08571428571428567,0.17142857142857135,0.0,0.8498365855987979,4.0
secondary/exploratory,hushem,resnet50,defocus_blur,2,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.0855555555555555,0.05734202504033917,0.08571428571428567,0.17142857142857135,-0.0018518518518520729,0.6689902921372906,4.0
secondary/exploratory,hushem,resnet50,defocus_blur,3,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.15952380952380948,0.08035493824136287,0.08571428571428567,0.17142857142857135,0.8611111111111115,0.9374742794825673,4.0
secondary/exploratory,hushem,resnet50,defocus_blur,4,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.21095238095238092,0.09469487938323748,0.08571428571428567,0.17142857142857135,1.4611111111111121,1.1047735928044378,4.0
secondary/exploratory,hushem,resnet50,defocus_blur,5,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,5,0.3814285714285714,0.09840565771025439,0.08571428571428567,0.17142857142857135,3.4500000000000015,1.148066006619635,4.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,0,aps,conformal_coverage,APS coverage,3,0.9577777777777777,0.010715167512214404,0.9577777777777777,0.85,-0.0,0.09941908001023676,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,1,aps,conformal_coverage,APS coverage,3,0.9577777777777778,0.0138777733297742,0.9577777777777777,0.85,-1.0301038372810734e-15,0.12876284532780188,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,2,aps,conformal_coverage,APS coverage,3,0.9611111111111112,0.01503083250940968,0.9577777777777777,0.85,-0.030927835051548145,0.13946133256153315,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,3,aps,conformal_coverage,APS coverage,3,0.9755555555555556,0.010183501544346343,0.9577777777777777,0.85,-0.16494845360824853,0.09448609680321352,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,4,aps,conformal_coverage,APS coverage,3,0.9577777777777777,0.0038490017945974737,0.9577777777777777,0.85,-0.0,0.03571238778492502,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,5,aps,conformal_coverage,APS coverage,3,0.89,0.07218802609235912,0.9577777777777777,0.85,0.6288659793814428,0.6697858091043631,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,0,raw_softmax,accuracy,Accuracy,3,0.8888888888888888,0.016442942874387495,0.8888888888888888,0.8388888888888888,-0.0,0.3288588574877496,3.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,1,raw_softmax,accuracy,Accuracy,3,0.89,0.01763834207376389,0.8888888888888888,0.8388888888888888,-0.022222222222223455,0.3527668414752775,3.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,2,raw_softmax,accuracy,Accuracy,3,0.8911111111111111,0.015396007178390056,0.8888888888888888,0.8388888888888888,-0.04444444444444469,0.30792014356780084,3.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,3,raw_softmax,accuracy,Accuracy,3,0.8355555555555556,0.02501851166488378,0.8888888888888888,0.8388888888888888,1.0666666666666638,0.5003702332976752,3.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,4,raw_softmax,accuracy,Accuracy,3,0.8055555555555557,0.044263520637871305,0.8888888888888888,0.8388888888888888,1.6666666666666614,0.8852704127574254,3.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,5,raw_softmax,accuracy,Accuracy,3,0.6255555555555555,0.16567482653725082,0.8888888888888888,0.8388888888888888,5.266666666666661,3.3134965307450135,3.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,0,raw_softmax,ece,ECE,3,0.03958280318313167,0.0059184862295023335,0.03958280318313167,0.07916560636626334,0.0,0.14952165469737408,5.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,1,raw_softmax,ece,ECE,3,0.047402089635531074,0.01255611098621262,0.03958280318313167,0.07916560636626334,0.1975425140110243,0.3172112628840659,5.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,2,raw_softmax,ece,ECE,3,0.044563194546434565,0.01029687249618338,0.03958280318313167,0.07916560636626334,0.1258220985578228,0.26013499975088733,5.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,3,raw_softmax,ece,ECE,3,0.04956804527176747,0.005827471681436707,0.03958280318313167,0.07916560636626334,0.2522621261167031,0.14722230900312036,5.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,4,raw_softmax,ece,ECE,3,0.06705642723374894,0.011675099184241748,0.03958280318313167,0.07916560636626334,0.6940797983283113,0.29495382452390656,5.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,5,raw_softmax,ece,ECE,3,0.23330738484859467,0.15189423727205156,0.03958280318313167,0.07916560636626334,4.894160243507446,3.837379494557418,5.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,0,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.21680468817551923,0.032669039399142466,0.21680468817551923,0.43360937635103847,0.0,0.15068419264390856,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,1,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.21745017170906064,0.03280983853379838,0.21680468817551923,0.43360937635103847,0.002977258190186559,0.15133362110341644,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,2,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.24630617101987198,0.030345122404703277,0.21680468817551923,0.43360937635103847,0.13607400786679089,0.13996525010629238,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,3,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.3653752903143565,0.017402866703350534,0.21680468817551923,0.43360937635103847,0.6852739365975266,0.08026978959634692,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,4,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.405261625846227,0.039800261277024435,0.21680468817551923,0.43360937635103847,0.86924752069078,0.18357657120773704,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,5,raw_softmax,mean_predictive_entropy,Predictive entropy,3,0.4104895194371541,0.08493874795570874,0.21680468817551923,0.43360937635103847,0.8933608995799613,0.3917754208661052,
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,0,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.05416666666666664,0.014433756729740645,0.05416666666666664,0.10833333333333328,0.0,0.26646935501059665,4.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,1,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.05416666666666664,0.014433756729740645,0.05416666666666664,0.10833333333333328,0.0,0.26646935501059665,4.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,2,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.0569444444444444,0.013393959390268006,0.05416666666666664,0.10833333333333328,0.051282051282050996,0.24727309643571715,4.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,3,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.09305555555555554,0.019690898442719203,0.05416666666666664,0.10833333333333328,0.7179487179487185,0.36352427894250855,4.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,4,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.13888888888888887,0.044940804687120646,0.05416666666666664,0.10833333333333328,1.564102564102565,0.8296763942237662,4.0
secondary/exploratory,smids,mobilenet_v3_large,defocus_blur,5,raw_softmax,risk_at_80_coverage,Selective risk @ 80%,3,0.3208333333333333,0.18915932438026947,0.05416666666666664,0.10833333333333328,4.923076923076925,3.4921721424049768,4.0
secondary/exploratory,smids,resnet50,defocus_blur,0,aps,conformal_coverage,APS coverage,5,0.9773333333333334,0.013824294235551829,0.9773333333333334,0.85,-0.0,0.10856775577658498,
secondary/exploratory,smids,resnet50,defocus_blur,1,aps,conformal_coverage,APS coverage,5,0.9786666666666667,0.012605113600792668,0.9773333333333334,0.85,-0.010471204188481388,0.09899303874968059,
secondary/exploratory,smids,resnet50,defocus_blur,2,aps,conformal_coverage,APS coverage,5,0.9753333333333334,0.016431676725154915,0.9773333333333334,0.85,0.01570680628272252,0.12904458161116417,
secondary/exploratory,smids,resnet50,defocus_blur,3,aps,conformal_coverage,APS coverage,5,0.9806666666666667,0.012560962454277827,0.9773333333333334,0.85,-0.026178010471203904,0.09864630199694623,
secondary/exploratory,smids,resnet50,defocus_blur,4,aps,conformal_coverage,APS coverage,5,0.984,0.010381607668264889,0.9773333333333334,0.85,-0.05235602094240781,0.08153095027433153,
secondary/exploratory,smids,resnet50,defocus_blur,5,aps,conformal_coverage,APS coverage,5,0.9866666666666667,0.0033333333333334103,0.9773333333333334,0.85,-0.07329842931937146,0.026178010471204778,
secondary/exploratory,smids,resnet50,defocus_blur,0,raw_softmax,accuracy,Accuracy,5,0.8966666666666667,0.007071067811865407,0.8966666666666667,0.8466666666666667,-0.0,0.141421356237308,
secondary/exploratory,smids,resnet50,defocus_blur,1,raw_softmax,accuracy,Accuracy,5,0.898,0.008027729719194836,0.8966666666666667,0.8466666666666667,-0.026666666666665926,0.16055459438389658,
secondary/exploratory,smids,resnet50,defocus_blur,2,raw_softmax,accuracy,Accuracy,5,0.8993333333333332,0.011642832797715287,0.8966666666666667,0.8466666666666667,-0.05333333333332963,0.23285665595430552,
secondary/exploratory,smids,resnet50,defocus_blur,3,raw_softmax,accuracy,Accuracy,5,0.8939999999999999,0.011879019787470219,0.8966666666666667,0.8466666666666667,0.05333333333333629,0.23758039574940415,
secondary/exploratory,smids,resnet50,defocus_blur,4,raw_softmax,accuracy,Accuracy,5,0.8866666666666667,0.0097182531580755,0.8966666666666667,0.8466666666666667,0.2,0.19436506316150984,
