analysis_tier,dataset,model,corruption_scope,severity,method,bin,lower,upper,count,confidence,accuracy,mean_ece_from_metrics,std_ece_from_metrics,n_replicates,source_condition_count
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,0,0.0,0.06666666666666667,0,,,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,1,0.06666666666666667,0.13333333333333333,0,,,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,2,0.13333333333333333,0.2,0,,,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,3,0.2,0.26666666666666666,0,,,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,4,0.26666666666666666,0.3333333333333333,0,,,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,5,0.3333333333333333,0.4,2,0.35924646258354187,0.5,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,6,0.4,0.4666666666666667,7,0.42655917150633677,0.5714285714285714,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,7,0.4666666666666667,0.5333333333333333,8,0.5044808387756348,1.0,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,8,0.5333333333333333,0.6,16,0.5695994310081005,0.4375,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,9,0.6,0.6666666666666666,8,0.6367251873016357,0.5,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,10,0.6666666666666666,0.7333333333333333,8,0.6992688477039337,0.75,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,11,0.7333333333333333,0.8,12,0.764601930975914,0.75,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,12,0.8,0.8666666666666667,12,0.8380838135878245,1.0,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,13,0.8666666666666667,0.9333333333333333,30,0.9000263690948487,0.9,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,raw_softmax,14,0.9333333333333333,1.0,113,0.9743020661109316,0.9646017699115044,0.13218638327358637,0.042488959005374076,5,5
secondary/exploratory,hushem,resnet50,clean,0,temperature,0,0.0,0.06666666666666667,0,,,0.1535291393891953,0.04386259605338971,5,5
secondary/exploratory,hushem,resnet50,clean,0,temperature,1,0.06666666666666667,0.13333333333333333,0,,,0.1535291393891953,0.04386259605338971,5,5
