analysis_tier,dataset,model,corruption_scope,severity,mean,std,n_replicates,method
secondary/exploratory,hushem,resnet50,clean,0,0.7521892383397518,0.25041642086948596,5,energy
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.7937090605620611,0.07173940960425007,5,energy
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,2,0.7682934503076025,0.07465018375929855,5,energy
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,3,0.7409083199903581,0.07772571413523205,5,energy
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,4,0.696140718959715,0.07973501957128408,5,energy
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,5,0.6489888355298442,0.07098771752974153,5,energy
secondary/exploratory,hushem,resnet50,clean,0,0.6784806459052287,0.22946714898413112,5,mahalanobis
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.6887102418349249,0.0930768656361364,5,mahalanobis
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,2,0.6744365999055425,0.04836914806117202,5,mahalanobis
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,3,0.646011543506594,0.04949090734389135,5,mahalanobis
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,4,0.5890032568887735,0.03598464748246364,5,mahalanobis
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,5,0.5465608706504029,0.07275553243345019,5,mahalanobis
secondary/exploratory,hushem,resnet50,clean,0,0.7818787475895947,0.23039536138290273,5,mc_dropout
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.80841027486688,0.06608613949442,5,mc_dropout
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,2,0.7913094235981899,0.06830534160376894,5,mc_dropout
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,3,0.7696555527944458,0.054808572530995255,5,mc_dropout
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,4,0.732371424558353,0.06192142353823308,5,mc_dropout
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,5,0.6989377120125388,0.03307241927343499,5,mc_dropout
secondary/exploratory,hushem,resnet50,clean,0,0.7715112568931568,0.22893167026578065,5,raw_softmax
secondary/exploratory,hushem,resnet50,equal_mean_of_7_device_corruptions,1,0.8152064991574545,0.06980537386946081,5,raw_softmax
