dataset,model,seed,fold,corruption,severity,n_samples,run_id,checkpoint,manifest_sha256,corruption_protocol_sha256,evaluation_git_revision,method,metric,value
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,accuracy,0.8966666666666666
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,macro_f1,0.8978337180263135
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,recall_class_0,0.9117647058823528
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,recall_class_1,0.8316831683168316
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,recall_class_2,0.9484536082474226
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,auroc_ovr_macro,0.9707349801113988
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,ece,0.0575217268864314
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,adaptive_ece,0.0573432340224583
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,brier,0.1553142284151973
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,nll,0.3326588425614475
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,aurc,0.0301446652454994
smids,resnet50,2025,,clean,0,300,20260901T093642Z-364bd06871,results/checkpoints/smids-resnet50-seed2025-20260901T093642Z-364bd06871.pt,ce3c1a90df7674579ac807bec9026f805a82e68f96ce8474b4e35c7b1c006da2,f9d825de07eeda22bf294c5ea66def1ea386e7a6d63a1a6281e28948c9b361c8,9a02e9ceb245f560155c373312b7b4a7f9d944a3,raw_softmax,risk_at_80_coverage,0.0583333333333333
